token_id,token_string,rank,frequency,rock_count,math500_acc,math500_delta,ifeval_acc,ifeval_delta
4480,part,1932,46,14,0.742,0.0,0.7486136783733827,0.001848428835489857
17059, weekly,2020,39,13,0.742,0.0,0.7504621072088724,0.003696857670979603
883, man,2123,31,12,0.742,0.0,0.7430683918669131,-0.003696857670979714
6946, rock,2136,37,12,0.742,0.0,0.7467652495378928,0.0
2692, account,2138,39,12,0.742,0.0,0.7504621072088724,0.003696857670979603
48786, flooded,2405,31,10,0.742,0.0,0.7467652495378928,0.0
7036, Note,420,267,91,0.74,-0.0020000000000000018,0.7486136783733827,0.001848428835489857
4354, However,446,264,83,0.74,-0.0020000000000000018,0.744916820702403,-0.001848428835489857
21484, assumes,536,200,69,0.74,-0.0020000000000000018,0.7467652495378928,0.0
11508, leads,1086,97,30,0.74,-0.0020000000000000018,0.744916820702403,-0.001848428835489857
28654, (`,1215,83,26,0.74,-0.0020000000000000018,0.7467652495378928,0.0
38775, Removes,1254,57,25,0.74,-0.0020000000000000018,0.7486136783733827,0.001848428835489857
29279, Ensure,1823,39,15,0.74,-0.0020000000000000018,0.7412199630314233,-0.00554528650646946
5547, Work,1904,32,14,0.74,-0.0020000000000000018,0.7467652495378928,0.0
7945, particularly,1913,35,14,0.74,-0.0020000000000000018,0.7578558225508318,0.011090573012939031
2390, project,1915,36,14,0.74,-0.0020000000000000018,0.7393715341959335,-0.007393715341959317
3421, cover,1925,43,14,0.74,-0.0020000000000000018,0.7486136783733827,0.001848428835489857
34006, Avoid,2013,31,13,0.74,-0.0020000000000000018,0.744916820702403,-0.001848428835489857
18654,also,2022,39,13,0.74,-0.0020000000000000018,0.7412199630314233,-0.00554528650646946
8149, supply,2026,40,13,0.74,-0.0020000000000000018,0.7412199630314233,-0.00554528650646946
21008, Handles,2030,42,13,0.74,-0.0020000000000000018,0.7467652495378928,0.0
34193,Notice,2031,43,13,0.74,-0.0020000000000000018,0.7412199630314233,-0.00554528650646946
58078,much,2126,34,12,0.74,-0.0020000000000000018,0.7486136783733827,0.001848428835489857
3476, role,2127,34,12,0.74,-0.0020000000000000018,0.7523105360443623,0.00554528650646946
26931, circular,2277,35,11,0.74,-0.0020000000000000018,0.7467652495378928,0.0
5440, technology,2407,32,10,0.74,-0.0020000000000000018,0.7467652495378928,0.0
4460, trying,1061,87,31,0.738,-0.0040000000000000036,0.744916820702403,-0.001848428835489857
1204,very,1085,97,30,0.738,-0.0040000000000000036,0.7504621072088724,0.003696857670979603
21144, Consider,1115,59,29,0.738,-0.0040000000000000036,0.7467652495378928,0.0
6099, remember,1211,56,26,0.738,-0.0040000000000000036,0.7504621072088724,0.003696857670979603
10295, examples,1212,59,26,0.738,-0.0040000000000000036,0.7393715341959335,-0.007393715341959317
12624, patterns,1362,69,22,0.738,-0.0040000000000000036,0.7467652495378928,0.0
7079, projects,1820,37,15,0.738,-0.0040000000000000036,0.7412199630314233,-0.00554528650646946
56204, approximation,1831,45,15,0.738,-0.0040000000000000036,0.744916820702403,-0.001848428835489857
10000, rise,2131,35,12,0.738,-0.0040000000000000036,0.7486136783733827,0.001848428835489857
6589, selection,2278,35,11,0.738,-0.0040000000000000036,0.744916820702403,-0.001848428835489857
1084, It,152,856,263,0.736,-0.006000000000000005,0.7541589648798521,0.007393715341959317
2118, direct,1154,89,28,0.736,-0.006000000000000005,0.7412199630314233,-0.00554528650646946
7199, limited,1256,76,25,0.736,-0.006000000000000005,0.7486136783733827,0.001848428835489857
2168, image,1400,52,21,0.736,-0.006000000000000005,0.7486136783733827,0.001848428835489857
26118, aligned,1506,53,19,0.736,-0.006000000000000005,0.7541589648798521,0.007393715341959317
1539,try,1656,51,17,0.736,-0.006000000000000005,0.7467652495378928,0.0
3730, doing,1730,44,16,0.736,-0.006000000000000005,0.7541589648798521,0.007393715341959317
18822, repeatedly,1828,41,15,0.736,-0.006000000000000005,0.7467652495378928,0.0
5404,Do,1832,46,15,0.736,-0.006000000000000005,0.7486136783733827,0.001848428835489857
1633, object,1833,47,15,0.736,-0.006000000000000005,0.7467652495378928,0.0
4752, building,1931,46,14,0.736,-0.006000000000000005,0.7504621072088724,0.003696857670979603
17719, reducing,2027,41,13,0.736,-0.006000000000000005,0.7541589648798521,0.007393715341959317
19798,direct,2122,31,12,0.736,-0.006000000000000005,0.7523105360443623,0.00554528650646946
4228, treat,2129,35,12,0.736,-0.006000000000000005,0.7523105360443623,0.00554528650646946
6733, library,2403,30,10,0.736,-0.006000000000000005,0.7430683918669131,-0.003696857670979714
5916, starting,318,400,123,0.734,-0.008000000000000007,0.7467652495378928,0.0
25351, ensures,646,149,57,0.734,-0.008000000000000007,0.7486136783733827,0.001848428835489857
3644, global,1022,103,33,0.734,-0.008000000000000007,0.7430683918669131,-0.003696857670979714
9429, compare,1039,103,32,0.734,-0.008000000000000007,0.7467652495378928,0.0
2632, little,1319,42,23,0.734,-0.008000000000000007,0.7412199630314233,-0.00554528650646946
12831, considering,1321,67,23,0.734,-0.008000000000000007,0.7541589648798521,0.007393715341959317
10063, flat,1442,50,20,0.734,-0.008000000000000007,0.756007393715342,0.009242144177449174
18580, strategic,1822,37,15,0.734,-0.008000000000000007,0.7486136783733827,0.001848428835489857
11464, explicit,1903,30,14,0.734,-0.008000000000000007,0.744916820702403,-0.001848428835489857
11682, detailed,1910,34,14,0.734,-0.008000000000000007,0.7393715341959335,-0.007393715341959317
7377, digital,1928,45,14,0.734,-0.008000000000000007,0.7504621072088724,0.003696857670979603
1055,of,2017,36,13,0.734,-0.008000000000000007,0.7412199630314233,-0.00554528650646946
5815, associated,2029,41,13,0.734,-0.008000000000000007,0.7541589648798521,0.007393715341959317
11715, arms,2276,35,11,0.734,-0.008000000000000007,0.7504621072088724,0.003696857670979603
6147, allows,947,111,36,0.732,-0.010000000000000009,0.7486136783733827,0.001848428835489857
7500, adjust,1153,80,28,0.732,-0.010000000000000009,0.744916820702403,-0.001848428835489857
1584, state,1155,92,28,0.732,-0.010000000000000009,0.7541589648798521,0.007393715341959317
40325, Algorithm,1287,77,24,0.732,-0.010000000000000009,0.7467652495378928,0.0
20913, connecting,2404,30,10,0.732,-0.010000000000000009,0.7393715341959335,-0.007393715341959317
5046, fix,705,144,52,0.73,-0.01200000000000001,0.7430683918669131,-0.003696857670979714
40276, quart,1324,76,23,0.73,-0.01200000000000001,0.7467652495378928,0.0
4250,just,1401,65,21,0.73,-0.01200000000000001,0.744916820702403,-0.001848428835489857
45505, spoon,1825,39,15,0.73,-0.01200000000000001,0.744916820702403,-0.001848428835489857
6534, situation,1922,42,14,0.73,-0.01200000000000001,0.7504621072088724,0.003696857670979603
44868, approximate,2128,34,12,0.73,-0.01200000000000001,0.7412199630314233,-0.00554528650646946
15955, outer,1087,99,30,0.728,-0.014000000000000012,0.7430683918669131,-0.003696857670979714
4345, personal,1441,45,20,0.728,-0.014000000000000012,0.7504621072088724,0.003696857670979603
13027, Python,115,1138,371,0.726,-0.016000000000000014,0.7412199630314233,-0.00554528650646946
4240, clean,567,215,65,0.726,-0.016000000000000014,0.7504621072088724,0.003696857670979603
43821, Important,1181,76,27,0.726,-0.016000000000000014,0.7467652495378928,0.0
4714, issues,1214,77,26,0.726,-0.016000000000000014,0.7504621072088724,0.003696857670979603
8660, understanding,1361,66,22,0.726,-0.016000000000000014,0.7467652495378928,0.0
37596, mathematics,1821,37,15,0.726,-0.016000000000000014,0.7578558225508318,0.011090573012939031
7203, movement,1827,41,15,0.726,-0.016000000000000014,0.7504621072088724,0.003696857670979603
9956, wind,1834,49,15,0.726,-0.016000000000000014,0.7412199630314233,-0.00554528650646946
6116, became,1909,34,14,0.726,-0.016000000000000014,0.7597042513863216,0.012939001848428777
17903, transportation,1914,36,14,0.726,-0.016000000000000014,0.7486136783733827,0.001848428835489857
2205, local,1924,43,14,0.726,-0.016000000000000014,0.7523105360443623,0.00554528650646946
10847, advanced,1927,45,14,0.726,-0.016000000000000014,0.7486136783733827,0.001848428835489857
5896, financial,1930,45,14,0.726,-0.016000000000000014,0.7467652495378928,0.0
8960,break,2016,35,13,0.726,-0.016000000000000014,0.7504621072088724,0.003696857670979603
34946,especially,2024,40,13,0.726,-0.016000000000000014,0.7486136783733827,0.001848428835489857
6961, physical,2028,41,13,0.726,-0.016000000000000014,0.756007393715342,0.009242144177449174
16229, educational,2124,33,12,0.726,-0.016000000000000014,0.744916820702403,-0.001848428835489857
28800, Regular,2137,37,12,0.726,-0.016000000000000014,0.744916820702403,-0.001848428835489857
12681,-like,1255,75,25,0.724,-0.018000000000000016,0.7486136783733827,0.001848428835489857
2618, job,2014,33,13,0.724,-0.018000000000000016,0.7467652495378928,0.0
14043, maps,2019,37,13,0.722,-0.020000000000000018,0.7504621072088724,0.003696857670979603
