token_id,frequency,rock_count,rock_rate,avg_loss_before,avg_loss_after,avg_improvement,avg_teacher_entropy,avg_student_entropy_before,avg_student_entropy_after,rank_by_rate,rank_by_count,token_string
4009,68,23,0.3382352941176471,0.5386115544882306,0.5920784409788683,-0.05346688649063769,0.9308148729834713,0.9800580774280045,0.950650447448799,114,1322, represent
4419,76,23,0.3026315789473684,0.935919031126756,0.9252525564777002,0.01066647464905579,0.9238900902459641,0.8485551238646855,0.8405867616813435,197,1323, features
40276,76,23,0.3026315789473684,0.43685912291517814,0.6256311498712565,-0.1887720269560783,0.7753276899152537,0.7790354746831135,0.6061772241691391,198,1324, quart
7218,59,22,0.3728813559322034,0.7545861690694868,0.7637591813118749,-0.00917301224238809,1.3288180852008953,1.3548109573035865,1.2671836129294993,65,1360, moving
8660,66,22,0.3333333333333333,0.6106917249767734,0.6602489846359001,-0.04955725965912672,0.9406896518740916,0.9899098128979941,0.842163148638175,122,1361, understanding
12624,69,22,0.3188405797101449,0.8297858686374489,0.8212500804550332,0.008535788182415627,1.0788649970087307,1.0340309463618937,1.034708020915958,157,1362, patterns
18776,40,21,0.525,1.3258186058257706,1.3765838358085603,-0.05076522998278965,1.064136109687388,1.211134804226458,1.2042447628453374,2,1399, flexible
2168,52,21,0.40384615384615385,0.9324032897129655,1.0156239508248222,-0.08322066111185666,0.7898486948061663,0.8030937310451498,0.748985816223117,43,1400, image
4250,65,21,0.3230769230769231,0.8067176887765527,0.7544028887668481,0.052314800009704565,1.2269438181932155,1.1731296722275706,1.2168001424521209,148,1401,just
11137,66,21,0.3181818181818182,0.7945057913170096,0.8738694116902702,-0.07936362037326061,1.1435122113589387,1.0119711240964313,0.8830366990173526,159,1402, causes
4345,45,20,0.4444444444444444,1.253002815346958,1.2324196066164101,0.020583208730547753,0.9131753486891587,0.9827130323896806,1.0320047629376252,17,1441, personal
10063,50,20,0.4,0.8659619095444213,0.976923576630652,-0.11096166708623068,1.0696513875957316,0.9799241039715707,1.0808758092019708,49,1442, flat
24047,54,20,0.37037037037037035,0.6682317785711752,0.657626405901586,0.010605372669589164,1.2457930508449122,1.1693302105974268,1.1241707940137498,69,1443, placing
3886,65,20,0.3076923076923077,0.7375186514883143,0.74194777356623,-0.0044291220779156815,0.7633811758545702,0.7830493181003756,0.705052803772448,186,1444, border
2487,66,20,0.30303030303030304,0.8391687408595387,1.0490865914064005,-0.20991785054686174,0.4979110485697598,0.47634643247549596,0.45939923224811063,195,1445, body
21803,42,19,0.4523809523809524,1.196309157252147,1.0707721390444065,0.12553701820774044,0.9645803449558505,0.8914360207355847,0.7975594041040278,15,1502, sustainable
51240,43,19,0.4418604651162791,1.1508362986055862,1.1602445196307556,-0.009408221025169361,1.0874623239431584,1.0468664930874163,1.195517588504519,18,1503,specific
9691,43,19,0.4418604651162791,0.9390053808991937,1.0605402442703036,-0.12153486337110986,0.9411123544577951,0.9286661693778051,0.8280453982969564,19,1504, delivery
7375,53,19,0.3584905660377358,0.7350334538427459,0.7701936584997143,-0.03516020465696845,1.055923677840323,0.9687115413681516,0.8876503326684096,83,1505, tools
26118,53,19,0.3584905660377358,0.8015471287379217,0.7977137733075135,0.003833355430408192,1.1868857127737324,1.1013358976902827,1.1153730040170111,84,1506, aligned
1015,59,19,0.3220338983050847,0.7304695927453253,1.071794644313157,-0.34132505156783166,0.7745508822099413,0.6495136211138836,0.6624005208250001,151,1507,co
18663,62,19,0.3064516129032258,0.9865180162340831,1.1275191105734423,-0.14100109433935926,0.6550522127890285,0.6746210714869713,0.6596100431988963,189,1508, separated
6559,41,18,0.43902439024390244,0.5618505872405921,0.7253974482510097,-0.1635468610104176,0.6758523234269743,0.745191014679887,0.6624435569222153,22,1571, trade
3728,43,18,0.4186046511627907,1.2688583315926778,1.192244761315483,0.07661357027719484,1.1371623112252902,1.0055935149525055,1.0215431487425988,34,1572, location
10535,48,18,0.375,0.7239358047854694,0.7689542784103954,-0.04501847362492606,0.8043782366609472,0.9890066227405138,0.8745140712223171,64,1573, communication
9977,50,18,0.36,0.7138730830527129,0.7777603741359599,-0.06388729108324698,0.6644495913145329,0.7113418272236595,0.7373101657489315,80,1574, climate
2244,51,18,0.35294117647058826,1.1059765200411409,1.0813964834281553,0.02458003661298558,1.180573299673258,1.255554707026949,1.224116453389619,94,1575, great
9812,58,18,0.3103448275862069,0.8444504611974919,0.9015054817021745,-0.057055020504682585,0.6310280614796848,0.42433166574759024,0.3713676055415598,180,1576, EU
7015,33,17,0.5151515151515151,1.210074814570102,1.295754325759289,-0.08567951118918704,0.9649161776491687,1.0663474669880038,0.8623377100500653,6,1651, sun
10693,38,17,0.4473684210526316,0.8108661225506741,0.8539439332916549,-0.043077810740980715,1.3760420319281126,1.2999001521813243,1.2663400395724334,16,1652, allowing
3590,40,17,0.425,0.9701657736761262,0.9803553218720481,-0.010189548195921883,0.9469303899779333,1.0642403790960089,0.9978649080730975,29,1653, social
7479,41,17,0.4146341463414634,1.1584730228613607,1.1864906128541362,-0.028017589992775482,1.0414979625038985,1.0285736665856549,0.9974326667625729,35,1654, demand
7785,46,17,0.3695652173913043,0.9108076612452429,0.9387231918922423,-0.027915530646999365,1.1361959082056747,1.435785677081541,1.3810924677907124,70,1655, smart
1539,51,17,0.3333333333333333,0.9840299331619605,0.9715723167812708,0.012457616380689762,1.2670150403305431,1.2167397426268616,1.211314678407047,121,1656,try
