rock_id,rock_token,rock_freq,rock_mean_kl,rock_freq_mean,ctrl_id,ctrl_token,ctrl_freq,ctrl_mean_kl,ctrl_freq_mean
7039,<id=7039>,71,0.6197645188695022,44.00328083973466,393,<id=393>,71,0.051414873094038735,3.6504559896767503
1184,<id=1184>,96,0.45733669479074973,43.90432269991197,6785,<id=6785>,94,0.280816175839367,26.3967205289005
476,<id=476>,82,0.5343578464366664,43.817343407806646,356,<id=356>,80,0.052838141579683584,4.227051326374687
21,<id=21>,900,0.047849362723322665,43.064426450990396,47822,<id=47822>,103,0.007657004272831465,0.7886714401016409
23606,<id=23606>,185,0.2297634991216668,42.506247337508356,897,<id=897>,93,0.10587433689668603,9.846313331391801
1969,<id=1969>,102,0.4132107625384472,42.14749777892161,10,<id=10>,93,0.07103696467722964,6.6064377149823565
748,<id=748>,202,0.20696609641361513,41.807151475550256,2376,<id=2376>,150,0.009678654456744797,1.4517981685117194
24437,<id=24437>,263,0.1586849205682973,41.73413410946219,62,<id=62>,256,0.008845004497240795,2.2643211512936436
12564,<id=12564>,118,0.3498046238197529,41.27694561073084,21495,<id=21495>,90,0.10987549355142255,9.888794419628029
702,<id=702>,113,0.36026828154547635,40.710315814638825,11397,<id=11397>,89,0.18478016133695038,16.445434358988585
432,<id=432>,113,0.359654335456555,40.64093990659072,2593,<id=2593>,88,0.2191414762848513,19.284449913066915
61,<id=61>,1126,0.03600114590447096,40.537290288434306,54876,<id=54876>,97,0.30694572450346774,29.773735276836373
773,<id=773>,135,0.29223138052805014,39.45123637128677,1366,<id=1366>,85,0.3037403677022025,25.81793125468721
1156,<id=1156>,56,0.6979172790282338,39.08336762558109,83,<id=83>,56,0.011674143256342362,0.6537520223551723
678,<id=678>,131,0.2937900866521157,38.48650135142716,32,<id=32>,85,0.17902203568452352,15.216873033184498
614,<id=614>,86,0.4369587037273169,37.57844852054925,256,<id=256>,84,0.06922089997410696,5.8145555978249845
861,<id=861>,100,0.36955196803115536,36.955196803115534,15976,<id=15976>,83,0.02827504282572261,2.3468285545349765
1290,<id=1290>,62,0.5949047747694101,36.88409603570342,67,<id=67>,62,0.18339580939741823,11.37054018263993
0,<id=0>,70,0.52301231217533,36.610861852273096,281,<id=281>,70,0.028457932403673267,1.9920552682571286
22,<id=22>,599,0.058869366818745376,35.26275072442848,24,<id=24>,583,0.04322148123193861,25.19812355822021
7546,<id=7546>,89,0.3915813991712611,34.85074452624224,3204,<id=3204>,79,0.26939446725965865,21.282162913513034
458,<id=458>,77,0.4504977905765378,34.68832987439341,89,<id=89>,77,0.0014205719589783714,0.1093840408413346
518,<id=518>,143,0.2373961566923334,33.94765040700368,11035,<id=11035>,79,0.1091566342018631,8.623374101947185
1147,<id=1147>,112,0.29299429276471856,32.81536078964848,3229,<id=3229>,78,0.08035565962893433,6.267741451056878
37018,<id=37018>,900,0.0363203206557497,32.68828859017473,50853,<id=50853>,278,0.06069884504709623,16.874278923092753
84500,<id=84500>,275,0.11666513597161383,32.082912392193805,3704,<id=3704>,77,0.06272011113539659,4.829448557425538
50,<id=50>,57,0.5463688554421591,31.14302476020307,335,<id=335>,57,0.07763257834486714,4.4250569656574275
